[2019-07-27 16:22:00] Downloading update (316,907 of 350,762 KB)...
[2019-07-27 16:22:00] Downloading update (318,018 of 350,762 KB)...
[2019-07-27 16:22:01] Downloading update (319,132 of 350,762 KB)...
[2019-07-27 16:22:01] Downloading update (320,257 of 350,762 KB)...
[2019-07-27 16:22:01] Downloading update (321,382 of 350,762 KB)...
[2019-07-27 16:22:01] Downloading update (322,525 of 350,762 KB)...
[2019-07-27 16:22:02] Downloading update (323,678 of 350,762 KB)...
[2019-07-27 16:22:02] Downloading update (324,831 of 350,762 KB)...
[2019-07-27 16:22:02] Downloading update (325,986 of 350,762 KB)...
[2019-07-27 16:22:02] Downloading update (327,167 of 350,762 KB)...
[2019-07-27 16:22:03] Downloading update (328,233 of 350,762 KB)...
[2019-07-27 16:22:03] Downloading update (329,428 of 350,762 KB)...
[2019-07-27 16:22:03] Downloading update (330,624 of 350,762 KB)...
[2019-07-27 16:22:03] Downloading update (331,830 of 350,762 KB)...
[2019-07-27 16:22:04] Downloading update (333,040 of 350,762 KB)...
[2019-07-27 16:22:04] Downloading update (334,241 of 350,762 KB)...
[2019-07-27 16:22:04] Downloading update (335,332 of 350,762 KB)...
[2019-07-27 16:22:04] Downloading update (336,436 of 350,762 KB)...
[2019-07-27 16:22:05] Downloading update (337,302 of 350,762 KB)...
[2019-07-27 16:22:05] Downloading update (338,463 of 350,762 KB)...
[2019-07-27 16:22:05] Downloading update (339,236 of 350,762 KB)...
[2019-07-27 16:22:05] Downloading update (340,017 of 350,762 KB)...
[2019-07-27 16:22:06] Downloading update (340,804 of 350,762 KB)...
[2019-07-27 16:22:06] Downloading update (341,513 of 350,762 KB)...
[2019-07-27 16:22:06] Downloading update (342,303 of 350,762 KB)...
[2019-07-27 16:22:06] Downloading update (343,105 of 350,762 KB)...
[2019-07-27 16:22:07] Downloading update (343,906 of 350,762 KB)...
[2019-07-27 16:22:07] Downloading update (344,718 of 350,762 KB)...
[2019-07-27 16:22:07] Downloading update (345,533 of 350,762 KB)...
[2019-07-27 16:22:07] Downloading update (346,353 of 350,762 KB)...
[2019-07-27 16:22:08] Downloading update (346,952 of 350,762 KB)...
[2019-07-27 16:22:08] Downloading update (347,331 of 350,762 KB)...
[2019-07-27 16:22:08] Downloading update (347,711 of 350,762 KB)...
[2019-07-27 16:22:09] Downloading update (348,091 of 350,762 KB)...
